Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%)
01/01/2025;0000;22,4;73,0
01/01/2025;0100;21,9;74,0
01/01/2025;0200;20,9;78,1
01/01/2025;0300;20,6;80,1
01/01/2025;0400;20,4;81,8
01/01/2025;0500;20,0;84,1
01/01/2025;0600;19,5;86,9
01/01/2025;0700;19,0;89,9
01/01/2025;0800;19,0;90,7
01/01/2025;0900;19,0;91,3
01/01/2025;1000;20,0;85,8
01/01/2025;1100;23,2;72,9
01/01/2025;1200;25,4;63,8
01/01/2025;1300;26,3;58,8
01/01/2025;1400;27,4;55,2
01/01/2025;1500;28,5;53,2
01/01/2025;1600;29,3;51,1
01/01/2025;1700;29,8;49,6
01/01/2025;1800;30,8;46,6
01/01/2025;1900;30,2;47,6
01/01/2025;2000;26,8;55,2
01/01/2025;2100;20,8;81,5
01/01/2025;2200;20,7;82,9
01/01/2025;2300;20,5;85,5
02/01/2025;0000;20,7;78,8
02/01/2025;0100;21,0;77,3
02/01/2025;0200;20,7;81,7
02/01/2025;0300;20,7;85,1
02/01/2025;0400;20,5;87,4
02/01/2025;0500;20,0;90,6
02/01/2025;0600;19,7;90,4
02/01/2025;0700;19,3;92,6
02/01/2025;0800;;
02/01/2025;0900;;
02/01/2025;1000;;
02/01/2025;1100;;
02/01/2025;1200;24,8;66,2
02/01/2025;1300;25,8;62,7
02/01/2025;1400;27,5;56,6
02/01/2025;1500;28,8;51,2
02/01/2025;1600;29,8;47,7
02/01/2025;1700;30,6;43,6
02/01/2025;1800;31,2;44,2
02/01/2025;1900;31,4;43,2
02/01/2025;2000;31,5;43,2
02/01/2025;2100;28,9;55,2
02/01/2025;2200;24,9;72,6
02/01/2025;2300;23,8;71,9
03/01/2025;0000;23,5;70,5
03/01/2025;0100;22,9;78,0
03/01/2025;0200;21,9;89,8
03/01/2025;0300;21,4;93,1
03/01/2025;0400;;
03/01/2025;0500;;
03/01/2025;0600;;
03/01/2025;0700;;
03/01/2025;0800;;
03/01/2025;0900;;
03/01/2025;1000;;
03/01/2025;1100;;
03/01/2025;1200;;
03/01/2025;1300;;
03/01/2025;1400;25,9;70,2
03/01/2025;1500;27,2;65,2
03/01/2025;1600;28,9;57,2
03/01/2025;1700;29,4;56,7
03/01/2025;1800;28,8;56,5
03/01/2025;1900;29,4;49,6
03/01/2025;2000;28,0;58,5
03/01/2025;2100;26,9;65,6
03/01/2025;2200;26,3;62,4
03/01/2025;2300;25,0;72,5
04/01/2025;0000;23,9;76,2
04/01/2025;0100;23,3;76,9
04/01/2025;0200;23,0;81,8
04/01/2025;0300;22,2;86,8
04/01/2025;0400;22,2;90,3
04/01/2025;0500;22,1;90,4
04/01/2025;0600;21,9;90,7
04/01/2025;0700;21,8;89,0
04/01/2025;0800;21,5;88,0
04/01/2025;0900;21,3;88,3
04/01/2025;1000;21,8;85,8
04/01/2025;1100;23,1;80,1
04/01/2025;1200;23,9;74,4
04/01/2025;1300;25,0;69,6
04/01/2025;1400;25,6;67,5
04/01/2025;1500;26,5;65,7
04/01/2025;1600;27,6;62,3
04/01/2025;1700;28,2;59,6
04/01/2025;1800;28,3;58,4
04/01/2025;1900;28,3;58,6
04/01/2025;2000;28,6;59,5
04/01/2025;2100;27,7;61,8
04/01/2025;2200;25,9;66,8
04/01/2025;2300;21,4;76,7
05/01/2025;0000;20,1;85,2
05/01/2025;0100;19,9;86,3
05/01/2025;0200;19,6;85,2
05/01/2025;0300;19,8;85,4
05/01/2025;0400;19,3;88,7
05/01/2025;0500;19,3;86,9
05/01/2025;0600;19,2;88,7
05/01/2025;0700;18,8;92,3
05/01/2025;0800;19,0;93,5
05/01/2025;0900;19,3;91,5
05/01/2025;1000;19,7;90,6
05/01/2025;1100;22,7;76,8
05/01/2025;1200;24,2;69,7
05/01/2025;1300;25,3;65,1
05/01/2025;1400;26,8;59,1
05/01/2025;1500;28,3;52,7
05/01/2025;1600;29,4;47,9
05/01/2025;1700;29,8;44,9
05/01/2025;1800;31,0;41,7
05/01/2025;1900;30,9;41,2
05/01/2025;2000;31,5;39,3
05/01/2025;2100;29,7;46,5
05/01/2025;2200;25,9;64,0
05/01/2025;2300;23,3;70,6
06/01/2025;0000;22,1;74,5
06/01/2025;0100;21,7;74,6
06/01/2025;0200;21,6;75,1
06/01/2025;0300;21,4;74,9
06/01/2025;0400;21,2;75,6
06/01/2025;0500;21,1;76,2
06/01/2025;0600;21,0;77,7
06/01/2025;0700;20,3;81,8
06/01/2025;0800;19,7;85,9
06/01/2025;0900;19,8;86,3
06/01/2025;1000;21,3;79,1
06/01/2025;1100;23,3;71,7
06/01/2025;1200;24,8;67,3
06/01/2025;1300;26,6;62,4
06/01/2025;1400;27,9;57,4
06/01/2025;1500;29,1;53,5
06/01/2025;1600;30,1;46,0
06/01/2025;1700;31,1;37,9
06/01/2025;1800;30,8;36,3
06/01/2025;1900;30,7;38,3
06/01/2025;2000;30,7;39,3
06/01/2025;2100;27,9;56,3
06/01/2025;2200;25,9;62,3
06/01/2025;2300;24,3;66,6
07/01/2025;0000;23,3;70,4
07/01/2025;0100;22,8;71,2
07/01/2025;0200;22,5;73,0
07/01/2025;0300;22,2;74,8
07/01/2025;0400;21,8;75,9
07/01/2025;0500;21,4;76,7
07/01/2025;0600;20,3;82,0
07/01/2025;0700;20,8;78,4
07/01/2025;0800;20,2;82,2
07/01/2025;0900;19,4;87,5
07/01/2025;1000;20,7;83,1
07/01/2025;1100;22,5;73,7
07/01/2025;1200;24,2;67,6
07/01/2025;1300;25,4;63,8
07/01/2025;1400;26,6;60,6
07/01/2025;1500;27,7;56,4
07/01/2025;1600;29,4;49,5
07/01/2025;1700;29,5;47,8
07/01/2025;1800;30,2;45,3
07/01/2025;1900;30,3;45,1
07/01/2025;2000;27,9;54,9
07/01/2025;2100;25,5;60,7
07/01/2025;2200;24,2;63,7
07/01/2025;2300;23,0;67,9
08/01/2025;0000;22,4;70,3
08/01/2025;0100;21,9;71,9
08/01/2025;0200;21,5;73,1
08/01/2025;0300;20,5;78,5
08/01/2025;0400;19,9;82,1
08/01/2025;0500;19,8;82,1
08/01/2025;0600;19,6;83,6
08/01/2025;0700;19,8;82,3
08/01/2025;0800;19,8;81,5
08/01/2025;0900;19,1;85,4
08/01/2025;1000;20,9;76,6
08/01/2025;1100;23,2;67,1
08/01/2025;1200;25,0;60,9
08/01/2025;1300;27,0;54,2
08/01/2025;1400;28,2;50,8
08/01/2025;1500;28,7;47,6
08/01/2025;1600;28,2;51,5
08/01/2025;1700;28,5;50,1
08/01/2025;1800;29,0;50,1
08/01/2025;1900;28,4;53,4
08/01/2025;2000;27,9;54,7
08/01/2025;2100;26,2;59,0
08/01/2025;2200;24,5;63,7
08/01/2025;2300;22,8;68,8
09/01/2025;0000;22,1;69,2
09/01/2025;0100;21,7;71,1
09/01/2025;0200;21,5;71,7
09/01/2025;0300;21,3;72,1
09/01/2025;0400;21,2;72,5
09/01/2025;0500;20,9;73,0
09/01/2025;0600;20,4;75,7
09/01/2025;0700;19,8;79,2
09/01/2025;0800;20,3;76,7
09/01/2025;0900;20,4;76,0
09/01/2025;1000;20,9;74,8
09/01/2025;1100;22,5;68,4
09/01/2025;1200;24,4;62,0
09/01/2025;1300;26,0;57,3
09/01/2025;1400;26,7;55,3
09/01/2025;1500;27,7;52,2
09/01/2025;1600;28,2;50,6
09/01/2025;1700;28,5;49,4
09/01/2025;1800;28,3;49,2
09/01/2025;1900;27,8;50,9
09/01/2025;2000;26,5;54,2
09/01/2025;2100;24,9;57,7
09/01/2025;2200;22,9;64,9
09/01/2025;2300;22,0;68,9
10/01/2025;0000;21,5;70,0
10/01/2025;0100;21,3;71,4
10/01/2025;0200;21,1;71,6
10/01/2025;0300;20,7;73,4
10/01/2025;0400;20,0;75,5
10/01/2025;0500;19,5;77,4
10/01/2025;0600;19,6;75,6
10/01/2025;0700;19,0;77,2
10/01/2025;0800;18,5;80,4
10/01/2025;0900;18,1;82,2
10/01/2025;1000;19,1;77,7
10/01/2025;1100;21,6;66,5
10/01/2025;1200;23,5;57,7
10/01/2025;1300;24,9;52,0
10/01/2025;1400;25,9;48,7
10/01/2025;1500;27,3;45,5
10/01/2025;1600;27,8;43,8
10/01/2025;1700;28,0;44,1
10/01/2025;1800;28,0;44,7
10/01/2025;1900;27,7;47,2
10/01/2025;2000;27,9;47,7
10/01/2025;2100;26,4;51,6
10/01/2025;2200;24,8;56,4
10/01/2025;2300;22,7;62,7
11/01/2025;0000;21,1;68,2
11/01/2025;0100;20,0;67,2
11/01/2025;0200;19,3;69,0
11/01/2025;0300;18,7;71,3
11/01/2025;0400;18,4;72,4
11/01/2025;0500;17,9;72,7
11/01/2025;0600;17,4;75,6
11/01/2025;0700;16,6;81,7
11/01/2025;0800;16,7;81,2
11/01/2025;0900;16,4;82,1
11/01/2025;1000;16,8;81,6
11/01/2025;1100;20,3;66,9
11/01/2025;1200;23,5;57,0
11/01/2025;1300;25,3;50,8
11/01/2025;1400;26,8;45,1
11/01/2025;1500;27,9;42,0
11/01/2025;1600;29,2;38,9
11/01/2025;1700;30,0;38,9
11/01/2025;1800;30,1;40,1
11/01/2025;1900;28,4;46,6
11/01/2025;2000;27,0;55,1
11/01/2025;2100;25,6;60,3
11/01/2025;2200;23,9;64,6
11/01/2025;2300;22,4;65,8
12/01/2025;0000;21,5;68,6
12/01/2025;0100;21,2;69,6
12/01/2025;0200;21,1;67,9
12/01/2025;0300;20,8;69,4
12/01/2025;0400;20,7;70,0
12/01/2025;0500;20,2;73,3
12/01/2025;0600;19,5;76,1
12/01/2025;0700;19,0;78,5
12/01/2025;0800;19,1;79,1
12/01/2025;0900;19,0;79,2
12/01/2025;1000;19,8;75,3
12/01/2025;1100;21,2;69,0
12/01/2025;1200;22,8;63,4
12/01/2025;1300;23,8;61,0
12/01/2025;1400;25,2;57,3
12/01/2025;1500;25,7;55,8
12/01/2025;1600;26,0;54,6
12/01/2025;1700;25,8;55,0
12/01/2025;1800;26,6;53,4
12/01/2025;1900;26,6;53,8
12/01/2025;2000;25,7;55,8
12/01/2025;2100;23,8;62,1
12/01/2025;2200;21,7;68,2
12/01/2025;2300;21,3;69,1
13/01/2025;0000;20,5;70,1
13/01/2025;0100;20,2;70,5
13/01/2025;0200;20,2;72,8
13/01/2025;0300;20,0;71,4
13/01/2025;0400;19,3;72,0
13/01/2025;0500;18,7;73,5
13/01/2025;0600;18,4;74,0
13/01/2025;0700;18,0;75,6
13/01/2025;0800;17,3;75,9
13/01/2025;0900;17,3;73,5
13/01/2025;1000;17,8;72,6
13/01/2025;1100;20,2;61,5
13/01/2025;1200;22,0;53,2
13/01/2025;1300;23,5;49,0
13/01/2025;1400;24,8;47,1
13/01/2025;1500;26,1;47,1
13/01/2025;1600;27,2;45,6
13/01/2025;1700;26,9;47,0
13/01/2025;1800;26,6;49,3
13/01/2025;1900;26,5;48,9
13/01/2025;2000;26,3;49,0
13/01/2025;2100;25,0;50,2
13/01/2025;2200;23,0;56,1
13/01/2025;2300;21,3;60,2
14/01/2025;0000;20,0;65,0
14/01/2025;0100;19,2;67,9
14/01/2025;0200;18,7;70,0
14/01/2025;0300;18,3;70,9
14/01/2025;0400;17,8;76,0
14/01/2025;0500;17,8;78,1
14/01/2025;0600;17,6;79,7
